Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas,Nombre
Santa Cruz,1435,500,150,-50.24806° -72.64528°,Lago Argentino
Santa Cruz,1166,Desconocido,Desconocido,-49.62417° -72.495°,Lago Viedma
Río Negro / Neuquén,540,464,157,-40.85444° -71.61611°,Lago Nahuel Huapi
Chubut,427,39,20,-45.41472° -69.19778°,Lago Musters
Santa Cruz,358,Desconocido,49,-48.9175° -71.21472°,Lago Cardiel
Buenos Aires,156,11,7,-37.12917° -62.86472°,Lago Epecuén
Río Negro,116,Desconocido,Desconocido,-38.70694° -67.97306°,Lago Pellegrini
Santa Cruz,100,Desconocido,Desconocido,-48.43278° -71.19028°,Lago Strobel
Chubut,84,Desconocido,79,-44.92139° -71.49583°,Lago Fontana
Neuquén,84,Desconocido,142,-39.77444° -71.50889°,Lago Huechulafquen
Neuquén,78,Desconocido,Desconocido,-40.63056° -71.41528°,Lago Traful
Chubut,73,Desconocido,Desconocido,-44.85917° -71.82°,Lago La Plata
Santa Cruz,65,Desconocido,Desconocido,-47.28833° -71.53028°,Lago Ghío
Chubut,58,287,149,-42.69111° -71.8625°,Lago Menéndez
Neuquén,58,165,64,-38.92167° -71.12639°,Lago Aluminé
Neuquén,53,277,166,-40.1625° -71.43639°,Lago Lácar
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,Desconocido,43,-54.41194° -67.71528°,Lago Yehuin
Santa Cruz,47,Desconocido,Desconocido,-48.41694° -71.55083°,Lago Quiroga
Chubut,47,180,111,-42.15083° -71.64972°,Lago Puelo
Santa Cruz,42,Desconocido,Desconocido,-47.97889° -72.35306°,Lago Nansen
Santa Cruz,42,Desconocido,Desconocido,-47.84389° -72.14278°,Lago Belgrano
Chubut,42,168,101,-42.82833° -71.67528°,Lago Futalaufquen
Santa Cruz,41,Desconocido,31,-47.49444° -71.83194°,Lago Posadas
Neuquén,40,Desconocido,Desconocido,-40.67583° -71.71111°,Lago Espejo
Río Negro,39,218,111,-41.34611° -71.54778°,Lago Mascardi
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,Desconocido,Desconocido,-54.395° -67.59333°,Lago Chepelmut
Santa Cruz,37,Desconocido,Desconocido,-47.5° -71.61333°,Lago Salitroso o Sucio
Neuquén,37,Desconocido,Desconocido,-40.03611° -71.53639°,Lago Lolog
Santa Cruz,30,Desconocido,Desconocido,-49.22833° -72.01722°,Lago Tar
Neuquén,29,Desconocido,69,-39.52583° -71.44778°,Lago Tromen
Chubut,28,Desconocido,Desconocido,-45.88778° -71.22361°,Lago Blanco
Neuquén,26,Desconocido,Desconocido,-39.41139° -71.31444°,Lago Quillén
Santa Cruz,23,Desconocido,Desconocido,-47.8625° -71.47028°,Lago Asador o Guitarra
Chubut,23,147,104,-42.61083° -71.66639°,Lago Rivadavia
Neuquén,21,Desconocido,Desconocido,-38.90444° -71.27389°,Lago Moquehue
Neuquén,20,Desconocido,Desconocido,-40.70222° -71.65972°,Lago Correntoso
Chubut,20,Desconocido,Desconocido,-45.59444° -68.54778°,Lago Río Chico
Santa Cruz,20,Desconocido,Desconocido,-48.49917° -71.58472°,Lago Quiroga Chico
Chubut,17,148,92,-42.1875° -71.50667°,Lago Epuyén
Río Negro,17,111,80,-41.20778° -71.42028°,Lago Gutiérrez
Chubut,17,108,49,-42.45861° -71.66917°,Lago Cholila
Neuquén,16,Desconocido,66,-39.72417° -71.58389°,Lago Paimún
Santa Cruz,16,Desconocido,Desconocido,-47.84583° -72.27028°,Lago Azara
Santa Cruz,14,Desconocido,Desconocido,-47.95556° -72.2025°,Lago Burmeister
Santa Cruz,14,Desconocido,Desconocido,-50.10833° -73.34972°,Lago Onelli
Neuquén,14,Desconocido,Desconocido,-40.33333° -71.31944°,Lago Meliquina
Río Negro,12,Desconocido,Desconocido,-41.06611° -71.54111°,Lago Perito Moreno
Neuquén,12,Desconocido,Desconocido,-39.84° -71.5075°,Lago Currhué
Neuquén,11,Desconocido,Desconocido,-40.485° -71.47583°,Lago Falkner
Chubut,10,Desconocido,Desconocido,-44.24194° -71.50222°,Lago Pico Nº 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,Desconocido,Desconocido,-54.68861° -65.80639°,Lago Río Bueno
Chubut,10,57,25,-43.26° -71.34667°,Lago Rosario
Santa Cruz,843,Desconocido,Desconocido,-46.43528° -71.71361°,Lago Buenos Aires
Santa Cruz,537,Desconocido,Desconocido,-48.89611° -72.69778°,Lago San Martín
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,Desconocido,81,-54.56472° -67.88972°,Lago Fagnano
Santa Cruz,125,Desconocido,Desconocido,-47.35667° -71.93083°,Lago Pueyrredón
Chubut,96,Desconocido,Desconocido,-43.93111° -71.53472°,Lago General Vintter
